Regions,Year,Gamma
Israel,2020,556.772
Papua New Guinea,2020,556.931
Bangladesh,2021,559.606
Taiwan (Province of China),2021,565.629
Saudi Arabia,2021,568.967
Vanuatu,2020,571.429
Cabo Verde,2020,574.468
Philippines (the),2021,579.689
Aruba,2020,586.957
Malaysia,2020,589.3
Togo,2020,592.593
Guadeloupe,2020,593.939
Cyprus,2021,601.19
Puerto Rico,2020,601.734
Mauritius,2020,609.489
Cuba,2020,609.969
Haiti,2020,612.245
Morocco,2020,624.966
Dominican Republic (the),2020,625.139
Equatorial Guinea,2020,628.319
Guyana,2020,629.31
"Palestine, State of",2020,630.769
India,2021,632.656
Burkina Faso,2020,633.721
New Caledonia,2020,637.631
Moldova,2021,642.512
Eritrea,2020,652.174
Benin,2020,652.174
Kazakhstan,2021,656.097
Martinique,2020,656.25
Poland,2021,657.138
Somalia,2020,657.143
Brunei Darussalam,2020,659.483
Indonesia,2020,663.488
Djibouti,2020,666.667
Kiribati,2020,666.667
Chad,2020,666.667
Sao Tome and Principe,2020,666.667
Nauru,2020,666.667
Tonga,2020,666.667
Guam,2020,672.316
Niger (the),2020,672.414
Antigua and Barbuda,2020,676.471
Barbados,2020,676.471
Saint Kitts and Nevis,2020,681.818
Hong Kong,2020,684.989
Cayman Islands (the),2020,685.714
Saint Lucia,2020,685.714
American Samoa,2020,687.5
Virgin Islands (U.S.),2020,693.548
Seychelles,2020,693.878
Comoros (the),2020,700.0
Solomon Islands,2020,700.0
Bahamas (the),2020,700.0
Gambia (the),2020,700.0
Maldives,2020,704.918
South Africa,2021,706.991
Turks and Caicos Islands (the),2020,708.333
South Sudan,2020,709.091
Virgin Islands (British),2020,714.286
Grenada,2020,714.286
Mongolia,2021,725.26
Guinea-Bissau,2020,750.0
Kosovo,2020,777.612
Botswana,2020,800.0
Saint Pierre and Miquelon,2020,800.0
